timestamp,action,target,content
2026-02-26 22:43:11.337073,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:43:46.349917,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:44:21.374503,reply,AtletiFan1,Low block merchants at it again.
2026-02-26 22:44:56.388538,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:47:16.437884,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:48:26.488231,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:49:01.512789,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:49:36.519957,tweet,none,Barça imposing their style again.
2026-02-26 22:50:11.532365,reply,BarcaFan1,Barça control the game. Always.
2026-02-26 22:50:46.548442,tweet,none,Barça imposing their style again.
2026-02-26 22:51:21.556335,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:51:56.567865,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:53:06.590418,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:54:51.627313,tweet,none,Barça imposing their style again.
2026-02-26 22:55:26.639408,reply,RMadridTalk,DNA of the club: complain first, play later.
2026-02-26 22:57:11.668609,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:57:46.680146,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 22:58:21.694391,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:01:16.763703,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:01:51.789238,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:03:01.818577,reply,AupaAtleti,Low block merchants at it again.
2026-02-26 23:05:21.881277,tweet,none,Barça imposing their style again.
2026-02-26 23:09:27.004334,reply,HalaMadridX,Refs working overtime again?
2026-02-26 23:10:02.011451,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:11:47.079967,tweet,none,Barça imposing their style again.
2026-02-26 23:12:22.102517,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:12:57.111635,tweet,none,Barça imposing their style again.
2026-02-26 23:15:17.159342,tweet,none,Barça imposing their style again.
2026-02-26 23:15:52.187833,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:16:27.203318,tweet,none,Barça imposing their style again.
2026-02-26 23:17:02.229285,tweet,none,Barça imposing their style again.
2026-02-26 23:17:37.242588,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:18:12.252881,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:18:47.279962,reply,HalaMadridX,DNA of the club: complain first, play later.
2026-02-26 23:21:07.349889,tweet,none,Barça imposing their style again.
2026-02-26 23:21:42.363003,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:22:52.380010,tweet,none,Barça imposing their style again.
2026-02-26 23:24:02.396379,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:24:37.408939,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:25:12.426056,reply,MbappeStan,Galácticos without tactics.
2026-02-26 23:26:22.464037,tweet,none,Barça imposing their style again.
2026-02-26 23:28:07.513989,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:29:17.528139,tweet,none,Barça imposing their style again.
2026-02-26 23:32:12.572906,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:32:47.580947,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:33:22.594788,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:33:57.610136,reply,CuleTalk,Trust the process. Visca el Barça.
2026-02-26 23:34:32.621269,tweet,none,Barça imposing their style again.
2026-02-26 23:36:52.684406,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:37:27.700515,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:38:02.711422,tweet,none,Football played the right way. #ForçaBarça
2026-02-26 23:39:12.734994,reply,BronxTalk,Payroll FC still crying?
2026-02-26 23:42:42.790904,tweet,none,Football played the right way. #ForçaBarça
